text,label,notes
"Yea and to be fair, he has the one position that doesn't need fresh legs up 4-0.",analysis,
Banger goal and banger celebration,reaction,
Minnows like Germany in the Semis and Spain the final of the Nations League last year.,analysis,
Lol. It was a friendly game no one will remember.,hot_take,
Rowing with my dad in the living room at 4 AM watching the boys beat such a great football nation is unreal Memories for life,reaction,
Reffing has been fine. Irans players were just throwing themselves around looking for fouls that first match,analysis,borderline analysis/hot_take (observation rebuttal -> analysis)
South Africa realizes you cannot win a football game by just passing back to your GK,hot_take,
Very funny if you dont think mexican fans see an ad for el nuevo ford f-150 or cheby silverado basically every other ad break. Tons of latinos have trucks lol,analysis,borderline analysis/hot_take (counter-point with reasoning -> analysis)
"Their tactics didn’t even look like a Bielsa team, though. Just the same cynical murderball we’ve been seeing from Uruguay for like 20 years where their ideal game is a 1-0 win with 5 yellow cards.",analysis,
"Honestly for a tournament like the WC that has such a clear-cut selection criteria for squads, I'd say just making the squad should count. It's at the club level where squad registrations are a lot more fluid with youth players not taking up spots, players switching teams mid-competition, etc.. that actual appearances start mattering more",analysis,
"Between the refereeing decisions in Iran games and the treatment of the squad and staff it's fair to say FIFA have allowed a significant amount of government interference at this tournament, by the Americans, going directly against their own rules. Shameful.",analysis,
"It's actually crazy he never played for a big European team, crazy shot stopper in his prime",hot_take,
Davies looked a bit slow as expected as he's been out for a long time but he created two chances immediately with his passing. Good work with half the team injured making the final 16.,analysis,
"blue origin take notes, that's how you launch a rocket",reaction,
Eustáquio is a Canadian hero for scoring the winner. And a hero for everywhere else (except South Africa) for preventing another 30 minutes of that game.,reaction,
A goal has finally been scored this is NOT A DRILL,reaction,
"Ball gathered speed as it traveled, insane",reaction,
"I doubt Canada wins next game, but if by God they pull it off we're gonna have a global earthquake of all the money lost at once",hot_take,
Ronaldo asking for a rheumatologist live on air,reaction,
WE'VE WON A WORLD CUP KNOCKOUT MATCH COME ONNNNNNNN,reaction,
Yes is a close game or in a scenario where the team needs to get a goal from the best person available to score rather then trying to feed 1 player. But in the context of this game the game is over so their is no harm in letting a legend chase a possible hat trick. Every team is letting their big name forward or legend chase a hat trick in a game they are comfortably winning be fr man,analysis,
"I mean, he found his level as well. Uzbekistan is a nice opponent for a 41 year old, no disrespect to Uzbekistan.",hot_take,
Then Uruguay should have never hired him. At this point I blame the FA. He is not suddenyl gonna change dramatically at 70 years of age.,hot_take,
"Ultimately it didn’t matter as the result would have been the same. This applies to Mexico at any wc, doesn't matter the stage.",hot_take,
"why do people like you continue lying about Muslera being retired? On 25 April 2024, Muslera announced his retirement from the national team. Muslera was brought back to the Uruguay team by Bielsa. Muslera being there is 100% Bielsa's fault.",analysis,
"And for the continent of Africa, who have repeatedly been hate watching South Africa",reaction,
Doing something like that in-game is insane,reaction,
"Indeed! He has the most to blame. He brought many injured players, many players win low or no minutes played for their team. No pity for him, he could have resigned earlier but decided to okay til contract ends",hot_take,
"Most disappointing team of the tournament and it’s not even close, I can’t believe any serious manager would start Muslera after the mistakes done in the first match.",hot_take,
Friendship with icelandic clappers is OVER. Now norweigian rowers are my new best friend,reaction,
A lot of talk about Canada from people who’ve never even won a round of 32 match,hot_take,
"Do people really expect players (ie Muslera) to say ""nah m8 I've been shit lately"" when selected for a WC match? Blame is there for being shit. Not so sure if we should expect professionals not to back themselves if the coach does.",analysis,
f***ing disgusting how they’ve been treated.,reaction,
Maybe the best USMNT goal I’ve ever seen. Absolute banger,reaction,
"So that's why he won in 2022, no post-birthday hangover",reaction,
At least in Germany ads on public TV broadcasts are heavily restricted by law. They are allowed to show 20 minutes of ads per day and only before 8pm.,analysis,
Absolute piss missile,reaction,
